Date,Price,Open,High,Low,Vol.,Change %
2021-01-29,1846.09,1840.90,1876.03,1839.56,,0.31%
2021-01-28,1840.36,1844.34,1864.26,1833.81,,-0.20%
2021-01-27,1843.99,1850.65,1853.58,1831.29,,-0.34%
2021-01-26,1850.31,1855.55,1861.86,1848.36,,-0.25%
2021-01-25,1854.99,1855.75,1868.45,1847.30,,0.13%
2021-01-22,1852.55,1870.09,1871.17,1837.09,,-0.93%
2021-01-21,1869.91,1871.07,1875.45,1858.16,,-0.05%
2021-01-20,1870.91,1840.05,1872.03,1832.46,,1.72%
2021-01-19,1839.34,1838.09,1845.98,1833.06,,0.13%
2021-01-18,1836.89,1828.94,1840.95,1810.46,,0.56%
2021-01-15,1826.59,1846.80,1856.85,1823.21,,-1.07%
2021-01-14,1846.37,1843.94,1857.59,1833.21,,0.16%
2021-01-13,1843.41,1856.19,1863.26,1843.34,,-0.66%
2021-01-12,1855.63,1845.34,1864.08,1837.41,,0.59%
2021-01-11,1844.66,1849.34,1857.05,1817.14,,-0.19%
2021-01-08,1848.26,1912.90,1917.85,1828.74,,-3.36%
2021-01-07,1912.50,1919.40,1927.97,1906.86,,-0.33%
2021-01-06,1918.81,1950.30,1959.60,1901.11,,-1.57%
2021-01-05,1949.35,1942.65,1953.17,1934.08,,0.36%
2021-01-04,1942.28,1906.05,1944.65,1905.36,,2.33%
2021-01-01,1898.10,1897.69,1899.12,1897.39,,0.09%
2020-12-31,1896.49,1893.55,1901.26,1884.77,,0.16%
2020-12-30,1893.37,1878.34,1894.06,1875.66,,0.82%
2020-12-29,1877.99,1872.24,1886.91,1870.99,,0.36%
2020-12-28,1871.19,1885.93,1900.53,1869.21,,-0.25%
2020-12-25,1875.82,1877.07,1877.07,1877.07,,-0.04%
2020-12-24,1876.56,1872.74,1882.55,1869.52,,0.24%
2020-12-23,1872.08,1859.99,1878.59,1858.59,,0.67%
2020-12-22,1859.56,1876.65,1884.61,1858.73,,-0.89%
2020-12-21,1876.21,1883.20,1906.93,1856.69,,-0.24%
2020-12-18,1880.66,1885.80,1889.88,1876.97,,-0.28%
2020-12-17,1885.87,1864.26,1896.26,1861.83,,1.17%
2020-12-16,1864.15,1853.94,1866.20,1844.75,,0.58%
2020-12-15,1853.46,1827.80,1855.76,1825.29,,1.44%
2020-12-14,1827.17,1839.30,1839.86,1819.92,,-0.64%
2020-12-11,1839.03,1835.55,1847.89,1824.23,,0.20%
2020-12-10,1835.31,1839.59,1850.40,1828.48,,-0.21%
2020-12-09,1839.11,1871.19,1871.37,1825.71,,-1.72%
2020-12-08,1871.36,1863.55,1875.79,1859.83,,0.41%
2020-12-07,1863.69,1837.99,1868.76,1822.99,,1.42%
2020-12-04,1837.61,1841.05,1848.26,1829.30,,-0.15%
2020-12-03,1840.36,1831.34,1844.45,1823.60,,0.51%
2020-12-02,1831.01,1815.19,1832.65,1806.99,,0.89%
2020-12-01,1814.87,1777.40,1817.55,1775.52,,2.13%
2020-11-30,1777.02,1789.05,1789.99,1764.69,,-0.62%
2020-11-27,1788.13,1811.09,1813.81,1773.93,,-1.24%
2020-11-26,1810.57,1805.74,1818.78,1805.31,,0.29%
2020-11-25,1805.30,1807.69,1817.98,1801.33,,-0.12%
2020-11-24,1807.51,1836.65,1839.26,1800.69,,-1.54%
2020-11-23,1835.85,1869.84,1876.72,1830.85,,-1.85%
2020-11-20,1870.49,1867.59,1879.98,1860.66,,0.17%
2020-11-19,1867.37,1871.44,1874.34,1852.48,,-0.22%
2020-11-18,1871.41,1878.60,1884.92,1863.94,,-0.38%
2020-11-17,1878.60,1889.15,1893.90,1877.69,,-0.52%
2020-11-16,1888.52,1888.74,1899.35,1864.74,,0.03%
